,course_id,cumgame_coeff,intercept,mse,n_value,nomatch,player,precip_coeff,prediction_score,wind_coeff
391,1,-0.0,53.75,25.1875,4.0,,Mark Anderson,0.0,0.0,0.0
392,2,,,,,1.0,Mark Anderson,,,
393,0,,,,,1.0,Matt Neiman ,,,
394,1,,57.0,,,,Matt Neiman ,,,
395,2,,,,,1.0,Matt Neiman ,,,
396,0,,,,,1.0,Mikey Alvarez,,,
397,1,,64.0,,,,Mikey Alvarez,,,
398,2,,,,,1.0,Mikey Alvarez,,,
399,0,0.5513631897046132,55.666666666666664,12.316938987641139,6.0,,Roger Crain,0.26806005444521663,0.1908580227097062,0.4068374134328931
400,1,,59.0,,,,Roger Crain,,,
401,2,,,,,1.0,Roger Crain,,,
402,0,0.06242006634151538,51.2,6.757912165786843,10.0,,Sean Jack,0.09060526679476434,0.05615751874485431,0.07328868009493959
403,1,,62.0,,,,Sean Jack,,,
404,2,,,,,1.0,Sean Jack,,,
405,0,,,,,1.0,Seth Anderson,,,
406,1,,64.0,,,,Seth Anderson,,,
407,2,,,,,1.0,Seth Anderson,,,
408,0,,,,,1.0,Seth Anderson ,,,
409,1,,70.0,,,,Seth Anderson ,,,
410,2,,,,,1.0,Seth Anderson ,,,
411,0,,,,,1.0,Steven Cowboy Johnson,,,
412,1,,61.0,,,,Steven Cowboy Johnson,,,
413,2,,,,,1.0,Steven Cowboy Johnson,,,
